Mission,Activity,Antenna,Start,End,Setup,Teardown
MIS-020,MIS-020_ACT_00,DSS-25,82.07,87.97,1.0,0.25
MIS-023,MIS-023_ACT_04,DSS-45,84.92,93.82000000000001,1.0,0.25
MIS-020,MIS-020_ACT_02,DSS-36,100.47,106.37,1.0,0.25
MIS-092,MIS-092_ACT_11,DSS-23,107.36,115.96,1.0,0.25
MIS-040,MIS-040_ACT_00,DSS-30,116.67,122.37,1.0,0.25
MIS-069,MIS-069_ACT_02,DSS-37,116.98,124.48,1.0,0.25
MIS-085,MIS-085_ACT_04,DSS-31,123.13,129.32999999999998,1.0,0.25
MIS-091,MIS-091_ACT_10,DSS-38,124.08,131.07999999999998,1.0,0.25
MIS-023,MIS-023_ACT_02,DSS-28,128.43,137.33,1.0,0.25
MIS-028,MIS-028_ACT_05,DSS-26,129.58,135.98000000000002,1.0,0.25
MIS-053,MIS-053_ACT_02,DSS-36,129.74,137.24,1.0,0.25
MIS-006,MIS-006_ACT_05,DSS-41,132.68,141.18,1.0,0.25
MIS-031,MIS-031_ACT_05,DSS-22,135.44,143.44,1.0,0.25
MIS-069,MIS-069_ACT_10,DSS-23,135.78,143.28,1.0,0.25
MIS-057,MIS-057_ACT_04,DSS-11,137.07,142.37,1.0,0.25
MIS-047,MIS-047_ACT_05,DSS-12,142.07,150.76999999999998,1.0,0.25
MIS-057,MIS-057_ACT_07,DSS-10,144.75,150.05,1.0,0.25
MIS-066,MIS-066_ACT_00,DSS-19,147.95,155.75,1.0,0.25
MIS-083,MIS-083_ACT_02,DSS-31,149.23,155.92999999999998,1.0,0.25
MIS-031,MIS-031_ACT_07,DSS-14,151.32,159.32,1.0,0.25
MIS-091,MIS-091_ACT_11,DSS-43,155.66,162.66,1.0,0.25
MIS-092,MIS-092_ACT_08,DSS-21,155.83,164.43,1.0,0.25
MIS-040,MIS-040_ACT_09,DSS-17,156.44,162.14,1.0,0.25
MIS-052,MIS-052_ACT_02,DSS-22,166.07,173.76999999999998,1.0,0.25
MIS-020,MIS-020_ACT_03,DSS-32,166.83,172.73000000000002,1.0,0.25
MIS-098,MIS-098_ACT_01,DSS-10,166.88,172.48,1.0,0.25
MIS-045,MIS-045_ACT_10,DSS-19,0.44,7.54,1.0,0.25
MIS-033,MIS-033_ACT_00,DSS-33,13.04,20.939999999999998,1.0,0.25
MIS-045,MIS-045_ACT_13,DSS-18,14.11,21.21,1.0,0.25
MIS-045,MIS-045_ACT_07,DSS-20,25.37,32.47,1.0,0.25
MIS-064,MIS-064_ACT_08,DSS-24,33.15,39.65,1.0,0.25
MIS-033,MIS-033_ACT_07,DSS-39,36.1,44.0,1.0,0.25
MIS-064,MIS-064_ACT_03,DSS-10,43.9,50.4,1.0,0.25
MIS-045,MIS-045_ACT_00,DSS-13,47.7,54.800000000000004,1.0,0.25
MIS-045,MIS-045_ACT_06,DSS-17,63.39,70.49,1.0,0.25
MIS-033,MIS-033_ACT_04,DSS-36,64.91,72.81,1.0,0.25
MIS-045,MIS-045_ACT_08,DSS-28,71.98,79.08,1.0,0.25
MIS-070,MIS-070_ACT_13,DSS-48,73.2,80.10000000000001,1.0,0.25
MIS-045,MIS-045_ACT_02,DSS-15,80.4,87.5,1.0,0.25
MIS-025,MIS-025_ACT_01,DSS-47,96.18,105.08000000000001,1.0,0.25
MIS-064,MIS-064_ACT_06,DSS-35,99.51,106.01,1.0,0.25
MIS-033,MIS-033_ACT_06,DSS-10,104.4,112.30000000000001,1.0,0.25
MIS-045,MIS-045_ACT_12,DSS-39,107.51,114.61,1.0,0.25
MIS-033,MIS-033_ACT_03,DSS-14,116.87,124.77000000000001,1.0,0.25
MIS-025,MIS-025_ACT_04,DSS-30,128.13,137.03,1.0,0.25
MIS-070,MIS-070_ACT_11,DSS-20,136.94,143.84,1.0,0.25
MIS-045,MIS-045_ACT_03,DSS-39,139.29,146.39,1.0,0.25
MIS-045,MIS-045_ACT_05,DSS-20,160.68,167.78,1.0,0.25
MIS-064,MIS-064_ACT_01,DSS-25,163.12,169.62,1.0,0.25
MIS-025,MIS-025_ACT_03,DSS-48,163.74,172.64000000000001,1.0,0.25
MIS-096,MIS-096_ACT_06,DSS-21,9.52,16.42,1.0,0.25
MIS-007,MIS-007_ACT_06,DSS-49,25.92,32.82,1.0,0.25
MIS-096,MIS-096_ACT_03,DSS-19,65.78,72.68,1.0,0.25
MIS-007,MIS-007_ACT_02,DSS-31,86.76,93.66000000000001,1.0,0.25
MIS-096,MIS-096_ACT_05,DSS-41,95.21,102.11,1.0,0.25
MIS-096,MIS-096_ACT_11,DSS-41,116.36,123.26,1.0,0.25
MIS-007,MIS-007_ACT_01,DSS-32,127.61,134.51,1.0,0.25
